# Energies_eV	Pt-foil-5mu
10855.99	0.98129
10856.99	0.98044
10857.99	0.97923
10858.99	0.97968
10859.99	0.98212
10860.99	0.98582
10861.99	0.98308
10862.99	0.9799
10863.99	0.9791
10864.99	0.97928
10865.99	0.9798
10866.99	0.98059
10867.99	0.98135
10868.99	0.9819
10869.99	0.98161
10870.99	0.98058
10871.99	0.97881
10872.99	0.98017
10873.99	0.98096
10874.99	0.97633
10875.99	0.9745
10876.99	0.97423
10877.99	0.97472
10878.99	0.97482
10879.99	0.97762
10880.99	0.97823
10881.99	0.9782
10882.99	0.97909
10883.99	0.97637
10884.99	0.97178
10885.99	0.96964
10886.99	0.97203
10887.99	0.9724
10888.99	0.9743
10889.99	0.97528
10890.99	0.97779
10891.99	0.97577
10892.99	0.97295
10893.99	0.97208
10894.99	0.97215
10895.99	0.96893
10896.99	0.96829
10897.99	0.96876
10898.99	0.96888
10899.99	0.96815
10900.99	0.96732
10901.99	0.96638
10902.99	0.96657
10903.99	0.96686
10904.99	0.9664
10905.99	0.96742
10906.99	0.96825
10907.99	0.9653
10908.99	0.96534
10909.99	0.96595
10910.99	0.96875
10911.99	0.9677
10912.99	0.96761
10913.99	0.96362
10914.99	0.96325
10915.99	0.96406
10916.99	0.9679
10917.99	0.9663
10918.99	0.96354
10919.99	0.96347
10920.99	0.9661
10921.99	0.96654
10922.99	0.96667
10923.99	0.96657
10924.99	0.96554
10925.99	0.96383
10926.99	0.96279
10927.99	0.96388
10928.99	0.96453
10929.99	0.96396
10930.99	0.9606
10931.99	0.95924
10932.99	0.95774
10933.99	0.95724
10934.99	0.9585
10935.99	0.9599
10936.99	0.9612
10937.99	0.96495
10938.99	0.96471
10939.99	0.96185
10940.99	0.95815
10941.99	0.9562
10942.99	0.95794
10943.99	0.95893
10944.99	0.95907
10945.99	0.9561
10946.99	0.95669
10947.99	0.9606
10948.99	0.96335
10949.99	0.96564
10950.99	0.9657
10951.99	0.96137
10952.99	0.95536
10953.99	0.95318
10954.99	0.9524
10955.99	0.95465
10956.99	0.95713
10957.99	0.95986
10958.99	0.95934
10959.99	0.95795
10960.99	0.95507
10961.99	0.95415
10962.99	0.95265
10963.99	0.9527
10964.99	0.95336
10965.99	0.94944
10966.99	0.94882
10967.99	0.949
10968.99	0.95282
10969.99	0.95389
10970.99	0.95556
10971.99	0.9539
10972.99	0.95221
10973.99	0.95127
10974.99	0.95054
10975.99	0.95224
10976.99	0.95076
10977.99	0.95064
10978.99	0.95083
10979.99	0.95114
10980.99	0.94959
10981.99	0.94856
10982.99	0.94871
10983.99	0.94749
10984.99	0.94902
10985.99	0.94948
10986.99	0.94817
10987.99	0.94646
10988.99	0.94839
10989.99	0.94917
10990.99	0.94783
10991.99	0.94733
10992.99	0.94776
10993.99	0.94824
10994.99	0.94647
10995.99	0.94623
10996.99	0.9458
10997.99	0.9478
10998.99	0.94824
10999.99	0.9458
11000.99	0.94489
11001.99	0.94774
11002.99	0.94565
11003.99	0.94419
11004.99	0.94291
11005.99	0.9448
11006.99	0.9449
11007.99	0.94112
11008.99	0.93958
11009.99	0.94217
11010.99	0.94474
11011.99	0.94479
11012.99	0.94032
11013.99	0.93844
11014.99	0.9386
11015.99	0.93893
11016.99	0.93854
11017.99	0.93926
