# created: Tue Oct 20 19:07:06 2015
# from file: scan14.txt
# No: 731  [E0: 0,0,0,-1]
#---------------------------------------------------------------------
#       X                  Y
2.0154000000E+001  4.9486826765E-001
2.0158000000E+001  4.9352862579E-001
2.0162000000E+001  4.9217813466E-001
2.0166000000E+001  4.8962236797E-001
2.0170000000E+001  4.8821767798E-001
2.0174000000E+001  4.8720375338E-001
2.0178000000E+001  4.8587233307E-001
2.0182000000E+001  4.8291620496E-001
2.0186000000E+001  4.8188248940E-001
2.0190000000E+001  4.7993003271E-001
2.0194000000E+001  4.7839794447E-001
2.0198000000E+001  4.7736132568E-001
2.0202000000E+001  4.7512785152E-001
2.0206000000E+001  4.7310378674E-001
2.0210000000E+001  4.7166989874E-001
2.0214000000E+001  4.6940578486E-001
2.0218000000E+001  4.6851647401E-001
2.0222000000E+001  4.6677677908E-001
2.0226000000E+001  4.6544570787E-001
2.0230000000E+001  4.6305615895E-001
2.0234000000E+001  4.6153183689E-001
2.0238000000E+001  4.6041929577E-001
2.0242000000E+001  4.5816108696E-001
2.0246000000E+001  4.5685762419E-001
2.0250000000E+001  4.5518941603E-001
2.0254000000E+001  4.5407678187E-001
2.0258000000E+001  4.5204200137E-001
2.0262000000E+001  4.5082136302E-001
2.0266000000E+001  4.4851491176E-001
2.0270000000E+001  4.4703335657E-001
2.0274000000E+001  4.4546911407E-001
2.0278000000E+001  4.4421220010E-001
2.0282000000E+001  4.4211704187E-001
2.0286000000E+001  4.4046261119E-001
2.0290000000E+001  4.3847914456E-001
2.0294000000E+001  4.3687170908E-001
2.0298000000E+001  4.3543353293E-001
2.0302000000E+001  4.3389885710E-001
2.0306000000E+001  4.3221953272E-001
2.0310000000E+001  4.3125652456E-001
2.0314000000E+001  4.2888727268E-001
2.0318000000E+001  4.2837198210E-001
2.0322000000E+001  4.2597850904E-001
2.0326000000E+001  4.2349173415E-001
2.0330000000E+001  4.2255133284E-001
2.0334000000E+001  4.1984528187E-001
2.0338000000E+001  4.1937437156E-001
2.0342000000E+001  4.1827153928E-001
2.0346000000E+001  4.1605382948E-001
2.0350000000E+001  4.1402552378E-001
2.0354000000E+001  4.1273038946E-001
2.0358000000E+001  4.1153215850E-001
2.0362000000E+001  4.1086365183E-001
2.0366000000E+001  4.0829999733E-001
2.0370000000E+001  4.0672242077E-001
2.0374000000E+001  4.0510239289E-001
2.0378000000E+001  4.0380403687E-001
2.0382000000E+001  4.0231064317E-001
2.0386000000E+001  4.0119340755E-001
