# Sample Noprmalized mu = col 2  
# This file has been produced by extranormal (v 1.0.1 - February 23, 2017)
# O. Roudenko - Synchrotron SOLEIL. Covered by GPL licence.
#Data from HDF File: /nfs/ruche-rock/rock-soleil/com-rock/2019/Projets/20191212_Matthias/References/Mo_foil/Mo_foil_00002.nxs to Mo_foil_00051.nxs
#Time at start=2019-12-17 12:08:56.932
#Time from start (seconds)=129.260314251
#Sample temperature (C)=nan
# Normalization -------------
# pivot spectrum: Standard_Mo_s3_100_He_Mo_0001_av1200_00001.txt
# E0=20000.0   Eshift=4.20721580259
# E0_pivot = 20000.0
# pre-edge params: from E0_pivot-250.0 to E0_pivot-60.0
# pre-edge range: [19750.0, 19940.0]
# post-edge params: from E0_pivot+150.0 to E0_pivot+1300.0
# post-edge range: [20150.0, 21300.0]
# I jump at E0_pivot = 1.11007626724
# shifted energy	normalized	reference	ref.derivative
       20089      1.06101     1.611855 -0.006634802
     20089.5     1.058127     1.608164 -0.007661285
       20090     1.054607     1.603924 -0.008459711
     20090.5     1.050629     1.599554 -0.009134209
       20091     1.046502     1.594936 -0.009587837
     20091.5     1.042148     1.589895 -0.009882323
       20092     1.037578     1.584749  -0.01016155
     20092.5     1.032941     1.579789  -0.01028692
       20093     1.028349     1.574612  -0.01012789
     20093.5     1.023867     1.569321 -0.009966162
       20094      1.01954     1.564493 -0.009492191
     20094.5     1.015431     1.559857 -0.008746408
       20095     1.011817     1.555628 -0.007969765
     20095.5     1.008637     1.551828 -0.007005919
       20096     1.005856     1.548553 -0.006044398
     20096.5     1.003441     1.545845 -0.005106514
       20097     1.001398     1.543539 -0.004167151
     20097.5    0.9998362     1.541615 -0.003380828
       20098    0.9986985     1.540219 -0.002568118
     20098.5    0.9978923     1.539084 -0.001692771
       20099     0.997438     1.538403 -0.0009437297
     20099.5    0.9972854      1.53823 -6.710327e-05
       20100    0.9975245     1.538332  0.000668396
       20103     1.002952     1.543657   0.00219628
       20106     1.008045     1.548489 0.0009859646
