# Sample I1 = col 7  I2= col 8, mu = ln(I1/I2)
# Energy, Theta, XMU, FLUO, REF, FLUO_RAW, I0, I1, I2, I3
1.143639843750000000e+04 1.639751243591308594e+01 -7.588460445404052734e-01 2.019388676772142048e+02 1.603259593248367310e-01 1.940232308161137951e+02 2.937792539596557617e+00 6.274567127227783203e+00 5.345090866088867188e+00 0.000000000000000000e+00
1.143689453125000000e+04 1.639677810668945312e+01 -7.590056657791137695e-01 2.051473693363460313e+02 1.602725386619567871e-01 1.977326844077981036e+02 2.938310384750366211e+00 6.276675224304199219e+00 5.347172260284423828e+00 0.000000000000000000e+00
1.143740332031250000e+04 1.639603042602539062e+01 -7.593410611152648926e-01 2.197846739695795577e+02 1.601900756359100342e-01 2.117245751439424453e+02 2.937778949737548828e+00 6.277645111083984375e+00 5.348439693450927734e+00 0.000000000000000000e+00
1.143790917968750000e+04 1.639528465270996094e+01 -7.595974206924438477e-01 1.936370828892184761e+02 1.601320803165435791e-01 1.865308001048834683e+02 2.937852621078491211e+00 6.279411792755126953e+00 5.350255012512207031e+00 0.000000000000000000e+00
1.143840527343750000e+04 1.639455223083496094e+01 -7.599336504936218262e-01 2.028370165793374156e+02 1.602851301431655884e-01 1.949289226999597417e+02 2.939532995223999023e+00 6.285116195678710938e+00 5.354295730590820312e+00 0.000000000000000000e+00
1.143890429687500000e+04 1.639381790161132812e+01 -7.602458000183105469e-01 2.222819368494497496e+02 1.601972877979278564e-01 2.136748882921619384e+02 2.939044475555419922e+00 6.286033630371093750e+00 5.355547904968261719e+00 0.000000000000000000e+00
1.143939843750000000e+04 1.639308929443359375e+01 -7.604624629020690918e-01 2.023143684971628886e+02 1.600073426961898804e-01 1.949825815587370528e+02 2.938724040985107422e+00 6.286710262298583984e+00 5.357141971588134766e+00 0.000000000000000000e+00
1.143989550781250000e+04 1.639235687255859375e+01 -7.603583335876464844e-01 2.040179506320545784e+02 1.601655036211013794e-01 1.966799632164288028e+02 2.938784360885620117e+00 6.286184787750244141e+00 5.355846881866455078e+00 0.000000000000000000e+00
1.144040039062500000e+04 1.639161300659179688e+01 -7.607564926147460938e-01 2.283799382522982171e+02 1.601488441228866577e-01 2.198850717784036135e+02 2.937898397445678711e+00 6.286792278289794922e+00 5.356453418731689453e+00 0.000000000000000000e+00
1.144090722656250000e+04 1.639086723327636719e+01 -7.609722614288330078e-01 2.126898408809452974e+02 1.600017547607421875e-01 2.049346233189384918e+02 2.937522172927856445e+00 6.287343502044677734e+00 5.357711315155029297e+00 0.000000000000000000e+00
1.144140429687500000e+04 1.639013481140136719e+01 -7.612001895904541016e-01 2.112890860780664752e+02 1.600455343723297119e-01 2.036670713167812892e+02 2.936164379119873047e+00 6.285870075225830078e+00 5.356221199035644531e+00 0.000000000000000000e+00
1.144189746093750000e+04 1.638940811157226562e+01 -7.612258195877075195e-01 2.088441264785570866e+02 1.599761545658111572e-01 2.012434467887257483e+02 2.936741590499877930e+00 6.287267208099365234e+00 5.357783317565917969e+00 0.000000000000000000e+00
1.144239843750000000e+04 1.638866996765136719e+01 -7.614419460296630859e-01 2.156877560364238207e+02 1.600703299045562744e-01 2.074377952854380851e+02 2.935819864273071289e+00 6.286652565002441406e+00 5.356755256652832031e+00 0.000000000000000000e+00
1.144289941406250000e+04 1.638793182373046875e+01 -7.617407441139221191e-01 2.219918961904516266e+02 1.600907444953918457e-01 2.140083506404513969e+02 2.934464931488037109e+00 6.285628795623779297e+00 5.355773448944091797e+00 0.000000000000000000e+00
1.144340234375000000e+04 1.638719177246093750e+01 -7.619204521179199219e-01 2.070314696029965944e+02 1.599944382905960083e-01 1.994479923825589083e+02 2.933095455169677734e+00 6.283824443817138672e+00 5.354751586914062500e+00 0.000000000000000000e+00
1.144389941406250000e+04 1.638645935058593750e+01 -7.620941996574401855e-01 2.211866707624659512e+02 1.599660962820053101e-01 2.130262908531337587e+02 2.929215908050537109e+00 6.276603221893310547e+00 5.348749637603759766e+00 0.000000000000000000e+00
1.144439941406250000e+04 1.638572311401367188e+01 -7.620640397071838379e-01 2.228819426830008297e+02 1.599085032939910889e-01 2.149295065641213398e+02 2.912582874298095703e+00 6.240774631500244141e+00 5.318523883819580078e+00 0.000000000000000000e+00
1.144490429687500000e+04 1.638497924804687500e+01 -7.620735764503479004e-01 2.110012257260478350e+02 1.598605513572692871e-01 2.036855019040683032e+02 2.881893873214721680e+00 6.175076484680175781e+00 5.262786865234375000e+00 0.000000000000000000e+00
1.144540332031250000e+04 1.638424682617187500e+01 -7.625460624694824219e-01 2.165580322541012492e+02 1.599571704864501953e-01 2.079857554709951444e+02 2.908853054046630859e+00 6.235787868499755859e+00 5.314015388488769531e+00 0.000000000000000000e+00
1.144590039062500000e+04 1.638351440429687500e+01 -7.626162171363830566e-01 2.166781744208801683e+02 1.598808616399765015e-01 2.086815793713438154e+02 2.937489748001098633e+00 6.297618865966796875e+00 5.367115974426269531e+00 0.000000000000000000e+00
1.144639843750000000e+04 1.638278198242187500e+01 -7.625624537467956543e-01 2.151936225183019928e+02 1.596986949443817139e-01 2.072664607794610561e+02 2.938246726989746094e+00 6.298902988433837891e+00 5.369188785552978516e+00 0.000000000000000000e+00
1.144689843750000000e+04 1.638204574584960938e+01 -7.628058195114135742e-01 2.058747893465737775e+02 1.599667072296142578e-01 1.975220128942032431e+02 2.936381578445434570e+00 6.296436786651611328e+00 5.365648269653320312e+00 0.000000000000000000e+00
1.144740136718750000e+04 1.638130760192871094e+01 -7.629606127738952637e-01 2.124843636510954923e+02 1.598432809114456177e-01 2.044316304393564394e+02 2.934966564178466797e+00 6.294376850128173828e+00 5.364554882049560547e+00 0.000000000000000000e+00
1.144790332031250000e+04 1.638056755065917969e+01 -7.630858421325683594e-01 2.076519922343614155e+02 1.598658263683319092e-01 2.000248967604346433e+02 2.934634685516357422e+00 6.294453144073486328e+00 5.364499092102050781e+00 0.000000000000000000e+00
1.144840234375000000e+04 1.637983322143554688e+01 -7.633982896804809570e-01 2.113554138151476707e+02 1.598289459943771362e-01 2.030963050490751414e+02 2.934568405151367188e+00 6.296277999877929688e+00 5.366251945495605469e+00 0.000000000000000000e+00
1.144889550781250000e+04 1.637910842895507812e+01 -7.636525034904479980e-01 2.145847035027018421e+02 1.597946137189865112e-01 2.068698029898480399e+02 2.934212684631347656e+00 6.297115325927734375e+00 5.367149829864501953e+00 0.000000000000000000e+00
